id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1226104410277729885,Spacious room in Temple Bar,329696,Erica,,Dublin City,53.344582,-6.2646931,Private room,160,3,1,2024-09-08,0.17,1,34,1,
1226105453132492218,Room in Portobello,77857715,Evelyn,,Dublin City,53.33044820922542,-6.270779626765591,Private room,97,1,7,2025-02-22,1.07,1,358,7,
1226105976658221456,Great place to stay in Dublin,103952770,Ana Carolina,,Dublin City,53.347245365222314,-6.234197408339061,Private room,174,1,4,2024-09-11,0.63,1,0,4,
1226280628576902606,cosy single room in Dublin home,563901121,Md Mahim Hossain,,South Dublin,53.325367253042685,-6.431110091507435,Private room,50,1,5,2025-02-20,0.77,1,354,5,
1226600010421718729,City centre luxury historic home,73400832,Suzanne,,Dublin City,53.340065224180556,-6.28187726558924,Entire home/apt,,3,8,2025-01-20,1.36,1,1,8,
1226697617371995581,Single cosy room,597072316,Cevher,,Dublin City,53.31042482850784,-6.287854244711182,Private room,101,1,1,2024-08-24,0.15,1,186,1,
1226743370659705255,"Room in arty, cosy home",51920713,Sorcha,,Dublin City,53.335984959909865,-6.299216755343973,Private room,,2,22,2025-03-03,3.42,1,0,22,
1226770789324194125,Northern Cross Apartment,565476920,Anthony,,Dublin City,53.40507847160623,-6.179895586193803,Entire home/apt,204,1,3,2025-03-01,0.46,4,243,3,
1226831731330359218,Artisan house in Arbour Hill,100405321,Ciaran,,Dublin City,53.34965,-6.28573,Entire home/apt,203,2,19,2025-03-02,3.70,1,0,19,
1226835391684306283,Bedroom in Dublin City Centre Shared Apt,555053325,Anthony,,Dublin City,53.35444,-6.25717,Private room,67,2,34,2025-02-24,5.54,7,129,34,
1226936746748665762,Entire Home in Historical Dublin,112294719,Orla,,Dublin City,53.3511514,-6.2853216,Entire home/apt,226,3,6,2024-11-17,1.03,1,42,6,
1226996381182439342,"Cozy Double Bedroom in Dundrum, 5 Min Walk to Luas",525992585,Sean,,Dn Laoghaire-Rathdown,53.29483889999999,-6.2451928,Private room,84,1,0,,,1,81,0,
1227306095604186620,"New Blackrock 4 Bed hse, garden, short/mid term",35787837,Niall Michael,,Dn Laoghaire-Rathdown,53.29200492604698,-6.1780260219512995,Entire home/apt,300,7,0,,,1,279,0,
1227316551527011924,Modern 3 Bed Townhouse Phibsboro,66948631,Luis & Gavin,,Dublin City,53.35857,-6.27442,Entire home/apt,,4,1,2024-08-26,0.15,33,1,1,
1227352523154223787,An Oasis in the City Center,33064724,Brian,,Dublin City,53.358718,-6.2639645,Private room,78,1,0,,,1,76,0,
1227375222003637802,"32,16 Gorgeous Rathmines flat",69683252,Daniel And G,,Dublin City,53.31975946869622,-6.271080092510953,Entire home/apt,,4,1,2024-08-25,0.15,101,0,1,
1227528095722956782,Ensuite Room in a home,294437868,Sandra,,Fingal,53.39348989305599,-6.437439667242399,Private room,138,2,0,,,2,164,0,
1227571092394876988,Ensuite With King Bed 2,580144310,Manoj,,Fingal,53.4041232,-6.421279300000001,Private room,72,1,7,2025-03-02,1.17,5,224,7,
1227575155153474469,King Bed with shared Bath,580144310,Manoj,,Fingal,53.4041232,-6.421279300000001,Private room,63,1,4,2024-11-05,0.62,5,84,4,
1227579239234302986,Room with Bunk 3 Bed. Shared Bathroom,580144310,Manoj,,Fingal,53.4041232,-6.421279300000001,Private room,72,1,5,2025-02-06,0.76,5,360,5,
1227712825167371229,Santa Cristina,592388123,Christina Philomena,,Dublin City,53.35113,-6.2741,Private room,,2,9,2024-12-08,1.62,1,10,9,
1227723031828629348,Acogedora habitación,58282931,Fabiola,,Dublin City,53.3118129540511,-6.27918541431427,Private room,87,2,0,,,2,360,0,
1228028483830207961,Inner City Centre Modern Duplex in Dublin,595897249,Maxime,,Dublin City,53.35506,-6.25719,Entire home/apt,204,2,3,2024-11-11,0.51,1,0,3,
1228033778084236122,luxury Double Room living with Privet Bathroom,206650093,Salah,,Dublin City,53.379,-6.17153,Private room,70,1,10,2025-02-02,1.57,2,64,10,
1228094063177035818,Luxe Dublin 4 Retreat with 3 Bedrooms,439074505,Travelnest,,Dublin City,53.33375,-6.23156,Entire home/apt,1200,1,0,,,5,1,0,
1228298908781063795,double room,516355152,Glenn,,Fingal,53.3938661,-6.3211984,Private room,55,1,2,2024-12-07,0.38,1,361,2,
1228326244864240612,Modern and cosy house in Dublin,516194923,Sabrine Victorelli,,Dublin City,53.35074062595382,-6.2284583313063635,Private room,63,4,6,2024-12-30,0.93,3,198,6,
